"Pcode
",Pcode Name,Governorate,District,Cadaster,Local Name,Latitude,Longitude,Shelter Type,Status,Number of Tents,Number of Ind,Date of the Update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Water Capacity in L,Number of SSBs,Number of Ind in SSBs,Type of Water Source,Waste Disposal,Waste Water Disposal,Type of Contract,Type of Internet Connection,Consultation Fee for PHC (3000/5000),Free Vaccination for Children under 12
10650-01-001,Achrafieh foncière 001,Beirut,Beirut,Achrafieh foncière,Adleye,33.8778801,35.52352905,IS- Informal Settlement,Active,12,52,12/15/16,PU-AMI,Sixth Update - 2016,3/2/16,1/1/12,1,0,2,10,Water Trucking,Municipality Collection,Cesspit,Verbal,Wifi  / local Internet service provider,No,No
21133-01-001,Furn Ech-Chebbak 001,Mount Lebanon,Baabda,Furn Ech-Chebbak,furn el chebak,33.87226105,35.52967072,IS- Informal Settlement,Less than 4,1,8,12/15/16,PU-AMI,Sixth Update - 2016,4/12/16,4/12/11,0,0,1,6,Borehole,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,Yes,No
21211-01-001,Baabda 001,Mount Lebanon,Baabda,Baabda,Baabda,33.82904053,35.54201126,IS- Informal Settlement,Inactive,0,0,12/16/16,PU-AMI,Sixth Update - 2016,8/27/15,3/28/11,0,0,0,0,,,,,,,
21394-01-001,Salima Baabda 001,Mount Lebanon,Baabda,Salima Baabda,Salima,33.87406158,35.70740891,IS- Informal Settlement,Inactive,0,0,12/8/16,PU-AMI,Sixth Update - 2016,8/30/15,5/28/14,0,0,0,0,,,,,,,
22111-01-001,Bourj Hammoud 001,Mount Lebanon,El Metn,Bourj Hammoud,Bourj Hammoud,33.89889908,35.54777908,IS- Informal Settlement,Less than 4,1,6,12/16/16,PU-AMI,Sixth Update - 2016,8/27/15,10/28/14,0,0,0,0,Water Network,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,No,No
22111-01-002,Bourj Hammoud 002,Mount Lebanon,El Metn,Bourj Hammoud,Nabaa 1,33.88669968,35.54140091,IS- Informal Settlement,Less than 4,2,2,12/16/16,PU-AMI,Sixth Update - 2016,4/12/16,4/12/11,0,0,1,1,Water Network,Municipality Collection,Municipality sewer network / treated,Verbal,Mobile network - 3G / 4G,No,No
22155-01-001,Sinn El-Fil 001,Mount Lebanon,El Metn,Sinn El-Fil,Sin El Fil,33.86566925,35.53264999,IS- Informal Settlement,Less than 4,2,10,12/1/16,PU-AMI,Sixth Update - 2016,4/12/16,4/12/13,0,2000,0,0,Borehole,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
22335-01-001,Naqqach 001,Mount Lebanon,El Metn,Naqqach,Antelias IS1,33.91857147,35.59080124,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,4/9/15,1/1/11,0,0,0,0,,,,,,,
22335-01-002,Naqqach 002,Mount Lebanon,El Metn,Naqqach,Antelias Golden Beach IS,33.91996002,35.58343124,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,4/15/15,3/14/11,0,0,0,0,,,,,,,
22423-01-001,Aain Saadé 001,Mount Lebanon,El Metn,Aain Saadé,Ain Saade,33.86484146,35.60031128,IS- Informal Settlement,Less than 4,1,6,12/16/16,PU-AMI,Sixth Update - 2016,10/28/15,1/1/11,1,0,0,0,Water Network,Municipality Collection,Municipality sewer network / not treated,Verbal,Mobile network - 3G / 4G,No,Yes
